yyyy,mm,tmax,tmin,af,rain,sun,whitby
degc,degc,days,mm,hours,whitby
2000,6,17.7,10.3,0,62.2,185.5,whitby
2000,7,16.5,11.1,0,79.5,140.3,whitby
2000,8,20.1,11.9,0,33.6,221.9,whitby
2000,9,17.0,10.7,0,107.7,97.6,whitby
2000,10,13.3,7.0,0,111.9,121.1,whitby
2000,11,---,---,---,---,---,whitby
2000,12,7.4,3.2,9,90.5,54.7,whitby
2001,1,5.9,0.7,11,41.3,84.0,whitby
2001,2,7.4,0.7,12,90.6,100.3,whitby
2001,3,7.8,1.8,8,48.0,127.6,whitby
2001,4,11.0,3.6,3,65.4,141.0,whitby
2001,5,15.1,7.0,0,10.1,272.7,whitby
2001,6,17.0,9.6,0,71.0,210.1,whitby
2001,7,19.7,12.6,0,42.6,174.2,whitby
2001,8,20.0,12.4,0,70.1,180.1,whitby
2001,9,15.9,10.4,0,85.9,107.3,whitby
2001,10,16.2,10.2,0,61.8,139.0,whitby
2001,11,10.9,4.8,1,42.0,56.3,whitby
2001,12,7.3,1.7,9,61.1,62.5,whitby
2002,1,8.2,2.7,8,29.9,58.1,whitby
2002,2,9.6,3.5,1,59.2,91.6,whitby
2002,3,11.1,3.4,2,38.1,131.2,whitby
2002,4,12.4,4.6,3,15.5,214.5,whitby
2002,5,15.0,8.2,0,44.7,201.9,whitby
2002,6,18.9,10.2,0,29.0,225.5,whitby
2002,7,19.5,11.2,0,52.6,208.0,whitby
2002,8,19.8,13.8,0,138.4,147.5,whitby
2002,9,16.9,10.1,0,32.7,133.8,whitby
2002,10,12.6,6.7,1,117.9,85.4,whitby
2002,11,10.2,5.3,1,101.1,66.4,whitby
2002,12,7.3,4.4,3,103.0,29.1,whitby
2003,1,7.6,3.5,4,87.5,48.3,whitby
2003,2,7.2,0.6,12,13.1,120.0,whitby
2003,3,11.3,2.7,8,14.0,185.6,whitby
2003,4,13.0,4.7,1,17.8,197.7,whitby
2003,5,16.6,8.2,0,35.8,220.4,whitby
2003,6,20.2,11.5,0,70.8,251.3,whitby
2003,7,21.3,13.3,0,25.7,205.9,whitby
2003,8,20.2,12.5,0,27.2,225.8,whitby
2003,9,18.8,9.9,0,70.8,183.4,whitby
2003,10,12.3,6.7,1,61.1,121.5,whitby
2003,11,10.6,5.2,3,48.1,81.0,whitby
2003,12,7.7,2.3,8,96.5,63.2,whitby
2004,1,7.5,2.7,4,123.5,44.1,whitby
2004,2,7.9,4.0,4,53.9,74.0,whitby
2004,3,9.6,3.3,3,35.0,111.1,whitby
2004,4,12.4,6.2,1,90.5,116.1,whitby
2004,5,15.2,7.0,0,25.0,227.7,whitby
2004,6,19.1,10.8,0,81.7,226.5,whitby
2004,7,18.8,11.4,0,76.3,192.2,whitby
2004,8,19.4,13.6,0,131.2,171.3,whitby
2004,9,18.2,10.4,0,12.1,185.2,whitby
2004,10,13.5,7.8,0,108.5,109.8,whitby
2004,11,10.3,5.4,2,36.7,52.5,whitby
2004,12,8.4,2.9,5,36.5,75.1,whitby
2005,1,8.9,3.4,3,26.6,65.3,whitby
2005,2,7.3,2.4,3,54.1,62.1,whitby
2005,3,9.4,4.7,1,61.6,56.3,whitby
